iter	Passed	Remaining
0	156	156787
1	158	79189
2	160	53286
3	161	40296
4	163	32510
5	165	27344
6	167	23798
7	172	21356
8	175	19288
9	177	17542
10	179	16158
11	181	14964
12	184	13974
13	185	13080
14	187	12301
15	188	11609
16	190	10997
17	191	10463
18	193	9973
19	194	9533
20	196	9157
21	198	8824
22	200	8501
23	201	8197
24	203	7923
25	204	7664
26	206	7432
27	208	7224
28	210	7036
29	211	6845
30	213	6661
31	214	6495
32	216	6335
33	217	6184
34	219	6041
35	220	5907
36	221	5777
37	223	5655
38	224	5538
39	226	5427
40	227	5323
41	228	5222
42	230	5126
43	231	5035
44	233	4946
45	234	4861
46	236	4790
47	237	4712
48	238	4637
49	240	4566
50	241	4498
51	243	4431
52	244	4370
53	245	4309
54	247	4248
55	248	4190
56	250	4136
57	251	4084
58	252	4031
59	254	3980
60	255	3930
61	256	3883
62	257	3836
63	259	3791
64	260	3748
65	261	3706
66	263	3670
67	264	3623
68	265	3584
69	266	3546
70	268	3509
71	269	3475
72	270	3440
73	272	3406
74	273	3373
75	274	3341
76	276	3311
77	278	3286
78	279	3258
79	281	3232
80	282	3204
81	283	3178
82	285	3152
83	286	3126
84	287	3097
85	289	3073
86	290	3044
87	292	3026
88	293	3004
89	295	2983
90	296	2959
91	297	2937
92	298	2915
93	300	2894
94	301	2873
95	302	2852
96	304	2831
97	305	2811
98	306	2791
99	307	2770
100	309	2752
101	309	2727
102	310	2708
103	312	2689
104	313	2670
105	314	2652
106	315	2634
107	316	2616
108	318	2599
109	319	2583
110	320	2568
111	321	2552
112	323	2535
113	324	2519
114	325	2504
115	326	2486
116	327	2471
117	328	2457
118	329	2440
119	330	2426
120	332	2413
121	333	2400
122	334	2383
123	335	2370
124	336	2358
125	338	2344
126	339	2331
127	339	2316
128	341	2303
129	342	2291
130	343	2279
131	344	2267
132	345	2255
133	347	2244
134	348	2234
135	350	2224
136	351	2213
137	352	2201
138	353	2191
139	355	2182
140	357	2175
141	358	2165
142	359	2155
143	360	2144
144	362	2136
145	363	2126
146	365	2118
147	366	2110
148	368	2102
149	369	2093
150	370	2085
151	372	2076
152	373	2067
153	374	2058
154	376	2052
155	378	2045
156	379	2038
157	381	2031
158	382	2023
159	384	2017
160	385	2010
161	387	2003
162	388	1996
163	390	1991
164	392	1984
165	393	1978
166	395	1974
167	397	1968
168	398	1961
169	400	1956
170	402	1952
171	404	1949
172	407	1949
173	409	1944
174	411	1938
175	412	1932
176	414	1926
177	415	1920
178	417	1914
179	419	1910
180	420	1901
181	421	1896
182	423	1891
183	425	1885
184	426	1880
185	428	1874
186	429	1868
187	431	1863
188	433	1859
189	434	1853
190	436	1848
191	438	1843
192	439	1838
193	441	1832
194	442	1826
195	444	1822
196	445	1816
197	447	1812
198	449	1807
199	450	1802
200	451	1796
201	453	1790
202	454	1785
203	456	1779
204	457	1774
205	458	1768
206	460	1765
207	462	1760
208	463	1755
209	465	1750
210	466	1745
211	468	1741
212	469	1735
213	471	1730
214	472	1726
215	474	1722
216	475	1717
217	477	1712
218	478	1707
219	480	1702
220	481	1698
221	483	1694
222	485	1690
223	486	1685
224	488	1681
225	489	1676
226	491	1672
227	492	1668
228	494	1663
229	495	1658
230	497	1655
231	498	1651
232	500	1647
233	502	1643
234	503	1639
235	504	1634
236	506	1630
237	507	1626
238	509	1622
239	511	1618
240	512	1613
241	513	1609
242	515	1605
243	516	1601
244	518	1598
245	520	1594
246	522	1591
247	523	1587
248	525	1583
249	526	1580
250	528	1577
251	530	1575
252	532	1571
253	533	1567
254	534	1562
255	536	1558
256	537	1555
257	539	1550
258	540	1546
259	541	1542
260	543	1538
261	545	1536
262	547	1535
263	549	1533
264	551	1528
265	552	1525
266	554	1522
267	556	1519
268	557	1515
269	559	1513
270	561	1509
271	562	1505
272	563	1500
273	565	1497
274	566	1494
275	567	1489
276	569	1485
277	570	1481
278	571	1477
279	573	1473
280	574	1470
281	575	1465
282	577	1461
283	578	1458
284	579	1454
285	581	1450
286	582	1446
287	583	1442
288	584	1438
289	586	1435
290	587	1431
291	588	1427
292	590	1425
293	592	1421
294	593	1417
295	594	1413
296	595	1410
297	597	1406
298	598	1403
299	599	1399
300	600	1395
301	602	1391
302	603	1389
303	605	1385
304	606	1382
305	607	1378
306	609	1374
307	610	1371
308	611	1368
309	612	1364
310	614	1360
311	615	1357
312	617	1354
313	618	1350
314	619	1347
315	620	1343
316	622	1340
317	623	1337
318	624	1334
319	626	1331
320	627	1328
321	630	1326
322	631	1323
323	632	1319
324	633	1316
325	635	1313
326	636	1309
327	637	1306
328	639	1303
329	640	1300
330	642	1298
331	643	1295
332	645	1292
333	647	1290
334	648	1287
335	649	1284
336	651	1280
337	652	1278
338	653	1274
339	655	1271
340	656	1268
341	658	1266
342	659	1263
343	661	1260
344	662	1258
345	663	1255
346	665	1252
347	666	1249
348	667	1245
349	669	1242
350	670	1239
351	672	1237
352	673	1234
353	674	1231
354	676	1228
355	677	1225
356	678	1222
357	679	1218
358	680	1215
359	682	1212
360	683	1209
361	684	1206
362	685	1203
363	686	1199
364	687	1196
365	689	1193
366	690	1190
367	691	1188
368	693	1185
369	694	1182
370	695	1179
371	697	1177
372	698	1174
373	700	1171
374	701	1169
375	702	1166
376	704	1163
377	705	1161
378	707	1158
379	708	1156
380	709	1153
381	711	1150
382	712	1148
383	714	1145
384	715	1142
385	716	1140
386	718	1137
387	719	1135
388	721	1132
389	722	1130
390	723	1127
391	725	1125
392	726	1122
393	728	1119
394	729	1117
395	730	1114
396	732	1112
397	733	1109
398	735	1107
399	736	1104
400	737	1102
401	739	1099
402	740	1097
403	742	1095
404	743	1092
405	745	1090
406	746	1087
407	748	1085
408	749	1083
409	751	1081
410	752	1078
411	754	1076
412	756	1074
413	757	1072
414	758	1069
415	760	1068
416	762	1065
417	763	1063
418	765	1061
419	766	1059
420	768	1056
421	770	1054
422	771	1052
423	772	1049
424	774	1047
425	776	1045
426	777	1043
427	779	1041
428	780	1039
429	782	1036
430	783	1034
431	785	1032
432	786	1030
433	788	1028
434	790	1026
435	793	1026
436	794	1024
437	797	1022
438	799	1021
439	801	1019
440	802	1017
441	805	1016
442	807	1014
443	809	1013
444	810	1011
445	812	1009
446	813	1006
447	815	1004
448	816	1002
449	818	1000
450	820	998
451	821	996
452	823	994
453	825	992
454	826	990
455	828	988
456	829	985
457	831	983
458	832	981
459	834	979
460	835	977
461	837	974
462	838	972
463	840	970
464	841	968
465	843	966
466	844	963
467	846	961
468	847	960
469	849	957
470	850	955
471	852	953
472	853	950
473	854	948
474	856	946
475	857	944
476	859	941
477	860	939
478	862	937
479	863	935
480	865	933
481	866	931
482	868	929
483	869	927
484	870	924
485	872	922
486	873	920
487	875	918
488	876	916
489	878	914
490	879	911
491	880	909
492	882	907
493	883	905
494	885	903
495	886	900
496	888	899
497	889	897
498	891	894
499	892	892
500	894	890
501	895	888
502	896	886
503	898	884
504	899	882
505	901	879
506	902	877
507	903	875
508	905	873
509	906	870
510	907	868
511	908	866
512	910	863
513	911	861
514	912	859
515	913	857
516	914	854
517	916	852
518	917	850
519	918	848
520	920	846
521	921	844
522	923	842
523	924	839
524	926	838
525	927	835
526	929	833
527	930	832
528	932	830
529	933	827
530	934	825
531	936	823
532	937	821
533	939	819
534	940	817
535	942	815
536	943	813
537	944	811
538	946	809
539	947	807
540	948	805
541	950	802
542	951	800
543	953	798
544	954	796
545	956	794
546	957	792
547	958	790
548	960	788
549	961	786
550	962	784
551	964	782
552	965	780
553	967	779
554	969	777
555	970	775
556	972	773
557	973	771
558	975	769
559	976	767
560	977	765
561	979	763
562	980	761
563	982	759
564	983	757
565	984	755
566	986	753
567	988	751
568	989	749
569	991	747
570	992	746
571	995	744
572	996	742
573	998	740
574	999	738
575	1001	736
576	1002	734
577	1003	732
578	1005	730
579	1006	728
580	1007	726
581	1009	724
582	1010	722
583	1011	720
584	1013	718
585	1014	716
586	1016	715
587	1017	713
588	1019	711
589	1020	709
590	1022	707
591	1023	705
592	1025	703
593	1026	701
594	1028	699
595	1029	697
596	1031	696
597	1032	694
598	1034	692
599	1035	690
600	1038	689
601	1040	687
602	1041	685
603	1043	683
604	1044	682
605	1046	680
606	1048	678
607	1049	676
608	1051	675
609	1053	673
610	1054	671
611	1056	669
612	1057	667
613	1059	665
614	1060	663
615	1062	662
616	1064	660
617	1065	658
618	1067	656
619	1068	654
620	1069	652
621	1071	650
622	1072	648
623	1074	647
624	1075	645
625	1076	643
626	1078	641
627	1079	639
628	1080	637
629	1082	635
630	1083	633
631	1084	631
632	1085	629
633	1087	627
634	1088	625
635	1089	623
636	1091	621
637	1092	619
638	1093	617
639	1094	615
640	1096	613
641	1097	611
642	1099	610
643	1100	608
644	1101	606
645	1103	604
646	1105	602
647	1106	601
648	1107	599
649	1109	597
650	1110	595
651	1112	593
652	1113	591
653	1115	589
654	1116	588
655	1118	586
656	1119	584
657	1120	582
658	1121	580
659	1123	578
660	1124	576
661	1126	574
662	1127	573
663	1128	571
664	1130	569
665	1131	567
666	1132	565
667	1133	563
668	1135	561
669	1137	560
670	1138	558
671	1139	556
672	1140	554
673	1142	552
674	1143	550
675	1145	548
676	1146	546
677	1147	545
678	1149	543
679	1150	541
680	1151	539
681	1153	537
682	1154	535
683	1156	534
684	1157	532
685	1158	530
686	1159	528
687	1161	526
688	1163	525
689	1165	523
690	1167	521
691	1168	520
692	1170	518
693	1171	516
694	1173	514
695	1175	513
696	1176	511
697	1178	509
698	1179	508
699	1181	506
700	1182	504
701	1183	502
702	1185	500
703	1186	498
704	1188	497
705	1188	495
706	1190	493
707	1191	491
708	1193	489
709	1194	487
710	1195	486
711	1197	484
712	1199	482
713	1200	480
714	1202	479
715	1204	477
716	1206	476
717	1207	474
718	1209	472
719	1211	471
720	1212	469
721	1214	467
722	1216	465
723	1217	464
724	1219	462
725	1220	460
726	1222	459
727	1225	457
728	1227	456
729	1228	454
730	1230	452
731	1231	450
732	1233	449
733	1234	447
734	1237	446
735	1239	444
736	1240	442
737	1242	441
738	1244	439
739	1245	437
740	1247	435
741	1248	434
742	1250	432
743	1251	430
744	1253	429
745	1255	427
746	1257	425
747	1258	424
748	1260	422
749	1262	420
750	1263	418
751	1265	417
752	1266	415
753	1268	413
754	1269	412
755	1271	410
756	1273	408
757	1275	407
758	1276	405
759	1278	403
760	1279	401
761	1281	400
762	1282	398
763	1284	396
764	1286	395
765	1287	393
766	1289	391
767	1291	390
768	1293	388
769	1294	386
770	1296	384
771	1297	383
772	1299	381
773	1300	379
774	1302	378
775	1303	376
776	1305	374
777	1307	372
778	1308	371
779	1310	369
780	1311	367
781	1313	366
782	1314	364
783	1316	362
784	1318	361
785	1319	359
786	1321	357
787	1322	355
788	1324	354
789	1326	352
790	1327	350
791	1329	349
792	1330	347
793	1332	345
794	1333	343
795	1335	342
796	1337	340
797	1338	338
798	1339	337
799	1341	335
800	1343	333
801	1344	331
802	1346	330
803	1348	328
804	1349	326
805	1350	325
806	1352	323
807	1353	321
808	1355	319
809	1356	318
810	1357	316
811	1359	314
812	1361	313
813	1362	311
814	1364	309
815	1365	307
816	1367	306
817	1368	304
818	1369	302
819	1371	300
820	1372	299
821	1374	297
822	1376	295
823	1377	294
824	1378	292
825	1380	290
826	1381	289
827	1383	287
828	1385	285
829	1387	284
830	1388	282
831	1389	280
832	1391	278
833	1392	277
834	1393	275
835	1395	273
836	1396	271
837	1397	270
838	1399	268
839	1400	266
840	1401	264
841	1402	263
842	1404	261
843	1405	259
844	1406	258
845	1408	256
846	1409	254
847	1411	252
848	1412	251
849	1413	249
850	1415	247
851	1416	246
