iter	Passed	Remaining
0	86	86779
1	88	44047
2	89	29807
3	91	22740
4	92	18462
5	94	15573
6	95	13540
7	96	12010
8	98	10797
9	99	9828
10	100	9030
11	102	8437
12	103	7877
13	105	7396
14	106	6978
15	107	6634
16	109	6324
17	110	6029
18	111	5776
19	113	5553
20	114	5346
21	115	5147
22	116	4967
23	118	4806
24	119	4666
25	121	4537
26	122	4413
27	123	4301
28	126	4220
29	127	4126
30	129	4051
31	132	3994
32	133	3913
33	135	3839
34	137	3797
35	139	3730
36	140	3663
37	143	3636
38	145	3575
39	146	3514
40	148	3467
41	149	3417
42	151	3378
43	153	3337
44	155	3298
45	157	3261
46	158	3218
47	160	3180
48	162	3144
49	163	3105
50	164	3067
51	166	3040
52	168	3010
53	170	2978
54	172	2958
55	173	2927
56	175	2897
57	176	2870
58	178	2854
59	180	2828
60	182	2807
61	185	2801
62	186	2778
63	189	2773
64	191	2761
65	193	2743
66	195	2728
67	197	2706
68	198	2684
69	201	2676
70	203	2663
71	204	2642
72	206	2618
73	207	2599
74	209	2578
75	210	2558
76	211	2537
77	213	2520
78	215	2510
79	217	2501
80	218	2484
81	221	2483
82	222	2460
83	224	2442
84	225	2424
85	226	2406
86	227	2391
87	229	2375
88	230	2359
89	231	2342
90	233	2331
91	235	2319
92	236	2306
93	237	2292
94	239	2279
95	240	2269
96	242	2257
97	243	2243
98	245	2231
99	247	2223
100	248	2210
101	249	2197
102	252	2195
103	253	2184
104	255	2180
105	257	2175
106	259	2167
107	261	2157
108	262	2148
109	265	2146
110	266	2136
111	268	2130
112	271	2127
113	273	2121
114	277	2134
115	279	2126
116	280	2115
117	282	2114
118	284	2104
119	285	2092
120	286	2082
121	287	2072
122	289	2062
123	290	2051
124	291	2040
125	292	2031
126	294	2024
127	295	2015
128	297	2005
129	298	1996
130	300	1992
131	301	1985
132	303	1975
133	304	1965
134	305	1956
135	307	1950
136	308	1943
137	309	1935
138	311	1926
139	313	1924
140	314	1917
141	315	1907
142	316	1898
143	318	1894
144	320	1888
145	321	1881
146	322	1873
147	324	1866
148	326	1863
149	327	1855
150	328	1848
151	330	1841
152	331	1836
153	332	1829
154	334	1822
155	335	1815
156	337	1813
157	339	1810
158	341	1805
159	342	1799
160	344	1793
161	345	1787
162	346	1780
163	347	1772
164	349	1767
165	350	1761
166	351	1755
167	353	1749
168	354	1742
169	356	1738
170	357	1733
171	359	1728
172	360	1723
173	362	1721
174	363	1715
175	365	1711
176	367	1707
177	369	1707
178	371	1703
179	374	1704
180	376	1703
181	377	1698
182	380	1698
183	382	1694
184	383	1691
185	385	1686
186	387	1684
187	389	1681
188	390	1677
189	393	1675
190	394	1673
191	396	1669
192	398	1666
193	400	1663
194	402	1660
195	403	1656
196	405	1654
197	407	1650
198	408	1644
199	409	1638
200	411	1634
201	412	1629
202	413	1624
203	414	1618
204	415	1613
205	417	1608
206	418	1602
207	419	1597
208	420	1591
209	421	1586
210	423	1582
211	424	1578
212	425	1573
213	426	1567
214	427	1562
215	429	1558
216	430	1553
217	431	1549
218	433	1544
219	434	1540
220	435	1536
221	437	1532
222	438	1528
223	439	1524
224	441	1520
225	442	1517
226	444	1512
227	445	1507
228	446	1503
229	448	1501
230	449	1497
231	451	1493
232	452	1489
233	453	1485
234	455	1481
235	456	1477
236	457	1472
237	458	1468
238	459	1464
239	461	1461
240	462	1457
241	464	1453
242	465	1449
243	467	1447
244	468	1443
245	469	1439
246	470	1435
247	472	1431
248	473	1429
249	475	1425
250	476	1421
251	477	1416
252	478	1413
253	480	1410
